,ProductId,UserId,Score
13,B001GVISJM,A18ECVX2RJ7HUE,4
14,B001GVISJM,A2MUGFV2TDQ47K,5
18,B001GVISJM,A2A9X58G2GTBLP,5
44,B001EO5QW8,A2G7B7FKP2O2PU,5
46,B001EO5QW8,AQLL2R1PPR46X,5
73,B0059WXJKM,A25VFHVGI4CFTP,1
109,B001REEG6C,AY12DBB0U420B,5
141,B001GVISJW,A2YIO225BTKVPU,4
143,B001GVISJW,A1Z54EM24Y40LL,5
144,B001GVISJW,A281387UUS2IN5,3
158,B000ITVLE2,A3NID9D9WMIV01,5
177,B0025VRCJY,A3F8JQ5J29GWUV,5
178,B0025VRCJY,A3L9ZT7SRJYLVH,4
180,B005CJVVJ8,A3BSTFFIKK5YTW,4
186,B000NY8ODS,A1IU7S4HCK1XK0,5
191,B004V6AH34,A3POAWC2JPQQQP,5
217,B0040WAG7Q,A19SDJ2TSSL8HI,3
231,B003SO503C,A3OXRFCJI67IMN,5
238,B001EO5ZME,AF72GTWZGAC61,5
240,B001EO5ZMY,AF72GTWZGAC61,5
267,B000LKZK7C,A2NP8RNW9T5BQF,1
273,B000LKZK7C,A2582KMXLK2P06,5
285,B000H13270,A1YLOZQKBX3J1S,3
286,B000H13270,AVQIRN6E7J7UA,3
291,B001UJEN6C,A37AO20OXS51QA,5
305,B001UJEN6C,ATN552TF5V40Z,1
308,B003YDP5PA,AAZ084UMH8VZ2,5
358,B0041QJSJS,A1KZUXE70GYNGO,4
369,B002O3VHXU,A3OXHLG6DIBRW8,5
370,B002O3VHXU,A2TJG4N8LNJW23,4
383,B000UXA3L8,A25C2M3QF9G7OQ,5
398,B001ELL6O8,ALSAOZ1V546VT,5
405,B000C21OOM,A1T61QP7QHYBRQ,5
420,B004X8TK8I,AMRMK86X3PKXD,5
422,B000G6RYNE,A2NO1TXXS9T0EE,4
423,B000G6RYNE,A1IRN1M05TPOVT,5
425,B000G6RYNE,A1Y3XPZK9ZADFW,4
426,B000G6RYNE,A1Y3XPZK9ZADFW,4
429,B000G6RYNE,A1IRN1M05TPOVT,5
431,B000G6RYNE,A2OEUROGZDTXUJ,5
433,B000G6RYNE,A22PUBSSNP54L,5
434,B000G6RYNE,A15USNEAJUXOSH,4
435,B000G6RYNE,A15USNEAJUXOSH,5
436,B000G6RYNE,A2BLJGGWN8GTXQ,5
439,B000G6RYNE,A33PLZ7SD5MCG0,4
